mes;uf;fonte_energia;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2020-02-01;MG;Hidráulica;28806.0;11272.0;882.0;1786.0;12571.333000000002;3713040
2020-02-01;MG;Hidráulica CGH;339.0;18.0;0.0;19.0;79.08599999999997;30240
2020-02-01;MG;Térmica a Óleo;0.0;0.0;0.0;0.0;131;0
2020-02-01;MG;Térmica a Gás;0.0;0.0;0.0;0.0;462.26700000000005;720
2020-02-01;MG;Hidráulica PCH;2804.0;858.0;63.0;171.0;741.462;324000
2020-02-01;MG;Térmica a Biomassa;0.0;0.0;0.0;0.0;1377.5710000000001;73440
2020-02-01;MG;Térmica - Outros;0.0;0.0;0.0;0.0;14.8;2160
2020-02-01;MG;Solar Fotovoltaica;0.0;0.0;0.0;0.0;540.1700000000001;93600
2020-02-01;SP;Hidráulica;17342.0;18270.0;1432.0;1066.0;14327.515999999994;4824720
2020-02-01;SP;Térmica a Biomassa;0.0;0.0;0.0;0.0;5463.3550000000005;90720
2020-02-01;SP;Hidráulica PCH;1640.0;246.0;18.0;101.0;296.522;115200
2020-02-01;SP;Hidráulica CGH;25.0;12.0;0.0;1.0;24.043;5760
2020-02-01;SP;Térmica a Gás;0.0;0.0;0.0;0.0;1421.073;120960
2020-02-01;SP;Térmica - Outros;0.0;0.0;0.0;0.0;24.4;5760
2020-02-01;SP;Solar Fotovoltaica;0.0;0.0;0.0;0.0;382.20199999999994;48240
2020-02-01;RJ;Hidráulica;323.0;2735.0;215.0;19.0;1015.087;493920
2020-02-01;RJ;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;2044;153360
2020-02-01;RJ;Térmica a Óleo;0.0;0.0;0.0;0.0;25;0
2020-02-01;RJ;Térmica Nuclear;0.0;0.0;0.0;0.0;2007;895680
2020-02-01;RJ;Hidráulica CGH;5.0;0.0;0.0;0.0;3.52;1440
2020-02-01;RJ;Hidráulica PCH;107.0;667.0;51.0;6.0;252.75699999999998;154080
2020-02-01;RJ;Térmica a Gás;0.0;0.0;0.0;0.0;6077.16;970560
2020-02-01;RJ;Térmica - Outros;0.0;0.0;0.0;0.0;490.0;250560
2020-02-01;RJ;Eólica;0.0;0.0;0.0;0.0;28.05;4320
2020-02-01;RJ;Térmica a Biomassa;0.0;0.0;0.0;0.0;60.932;7920
2020-02-01;GO;Hidráulica;14409.0;5030.0;391.0;899.0;5383.699999999999;1848960
2020-02-01;GO;Térmica a Biomassa;0.0;0.0;0.0;0.0;1202.348;25920
2020-02-01;GO;Hidráulica PCH;1210.0;582.0;46.0;75.0;480.74999999999994;259920
2020-02-01;GO;Térmica a Óleo;0.0;0.0;0.0;0.0;512.171;0
2020-02-01;AL;Hidráulica;17327.0;0.0;0.0;1079.0;4279.601;632160
2020-02-01;AL;Térmica a Biomassa;0.0;0.0;0.0;0.0;200.2;19440
2020-02-01;AL;Hidráulica PCH;0.0;0.0;0.0;0.0;1.25;0
2020-02-01;AL;Hidráulica CGH;0.0;0.0;0.0;0.0;0.84;0
2020-02-01;PE;Hidráulica;7321.0;0.0;0.0;456.0;1479.6;280800
2020-02-01;PE;Térmica a Biomassa;0.0;0.0;0.0;0.0;206.38;33120
2020-02-01;PE;Hidráulica CGH;2.0;0.0;0.0;0.0;3.023;0
2020-02-01;PE;Hidráulica PCH;43.0;1.0;0.0;3.0;17.975;3600
2020-02-01;PE;Térmica a Gás;0.0;0.0;0.0;0.0;536.828;374400
2020-02-01;PE;Térmica a Óleo;0.0;0.0;0.0;0.0;1341.0149999999999;0
2020-02-01;PE;Eólica;0.0;0.0;0.0;0.0;779.1849999999997;191520
2020-02-01;PE;Solar Fotovoltaica;0.0;0.0;0.0;0.0;39;6480
2020-02-01;SE;Hidráulica;14506.0;0.0;0.0;906.0;3162.0;712080
2020-02-01;SE;Térmica a Biomassa;0.0;0.0;0.0;0.0;58.5;12960
2020-02-01;SE;Eólica;0.0;0.0;0.0;0.0;34.5;2880
2020-02-01;SE;Térmica a GNL;0.0;0.0;0.0;0.0;1515.63;0
2020-02-01;BA;Hidráulica;6088.0;1023.0;80.0;382.0;1720.956;277920
